time,close
1681430400,286.14
1681689600,288.8
1681776000,288.37
1681862400,288.45
1681948800,286.11
1682035200,285.76
1682294400,281.77
1682380800,275.42
1682467200,295.37
1682553600,304.83
1682640000,307.26
1682899200,305.56
1682985600,305.41
1683072000,304.4
1683158400,305.41
1683244800,310.65
1683504000,308.65
1683590400,307
1683676800,312.31
1683763200,310.11
1683849600,308.97
1684108800,309.46
1684195200,311.74
1684281600,314
1684368000,318.52
1684454400,318.34
1684713600,321.18
1684800000,315.26
1684886400,313.85
1684972800,325.92
1685059200,332.89
1685404800,331.21
1685491200,328.39
1685577600,332.58
1685664000,335.4
1685923200,335.94
1686009600,333.68
1686096000,323.38
1686182400,325.26
1686268800,326.79
1686528000,331.85
1686614400,334.29
1686700800,337.34
1686787200,348.1
1686873600,342.33
1687219200,338.05
1687305600,333.56
1687392000,339.71
1687478400,335.02
1687737600,328.6
1687824000,334.57
1687910400,335.85
1687996800,335.05
1688083200,340.54
1688342400,337.99
1688515200,338.15
1688601600,341.27
1688688000,337.22
1688947200,331.83
1689033600,332.47
1689120000,337.2
1689206400,342.66
1689292800,345.24
1689552000,345.73
1689638400,359.49
1689724800,355.08
1689811200,346.87
1689897600,343.77
