time,close
1681430400,50.54
1681689600,50.28
1681776000,50.31
1681862400,48.04
1681948800,46.58
1682035200,47.03
1682294400,47.39
1682380800,47.09
1682467200,46.54
1682553600,46.56
1682640000,47.25
1682899200,47.34
1682985600,46.36
1683072000,45.96
1683158400,45.7
1683244800,46.25
1683504000,46.34
1683590400,46.47
1683676800,46.71
1683763200,46.37
1683849600,46.71
1684108800,47.1
1684195200,46.92
1684281600,47.63
1684368000,48.2
1684454400,49.13
1684713600,48.82
1684800000,48.91
1684886400,48.41
1684972800,49.03
1685059200,49.86
1685404800,50.17
1685491200,49.67
1685577600,49.74
1685664000,50.02
1685923200,50.21
1686009600,49.81
1686096000,49.78
1686182400,49.68
1686268800,49.66
1686528000,50.48
1686614400,50.8
1686700800,50.96
1686787200,51.93
1686873600,52.07
1687219200,51.55
1687305600,50.85
1687392000,51.12
1687478400,50.33
1687737600,50.21
1687824000,50.86
1687910400,50.87
1687996800,51.21
1688083200,51.74
1688342400,51.82
1688515200,51.51
1688601600,51.11
1688688000,50.99
1688947200,51.4
1689033600,52.12
1689120000,50.74
1689206400,51.53
1689292800,50.38
1689552000,50.81
1689638400,51.24
1689724800,52.43
1689811200,52.37
1689897600,52.63
