time,close
1681430400,221.49
1681689600,218.86
1681776000,217.89
1681862400,215.7
1681948800,213.07
1682035200,212.89
1682294400,212.79
1682380800,207.55
1682467200,209.4
1682553600,238.56
1682640000,240.32
1682899200,243.18
1682985600,239.24
1683072000,237.03
1683158400,233.52
1683244800,232.78
1683504000,233.27
1683590400,233.37
1683676800,233.08
1683763200,235.79
1683849600,233.81
1684108800,238.86
1684195200,238.82
1684281600,242.485
1684368000,246.85
1684454400,245.64
1684713600,248.32
1684800000,246.74
1684886400,249.21
1684972800,252.69
1685059200,262.04
1685404800,262.52
1685491200,264.72
1685577600,272.61
1685664000,272.61
1685923200,271.39
1686009600,271.12
1686096000,263.6
1686182400,264.58
1686268800,264.95
1686528000,271.05
1686614400,271.32
1686700800,273.35
1686787200,281.83
1686873600,281
1687219200,284.33
1687305600,281.64
1687392000,284.88
1687478400,288.73
1687737600,278.47
1687824000,287.05
1687910400,285.29
1687996800,281.53
1688083200,286.98
1688342400,286.02
1688515200,294.37
1688601600,291.99
1688688000,290.53
1688947200,294.1
1689033600,298.29
1689120000,309.34
1689206400,313.41
1689292800,308.87
1689552000,310.62
1689638400,312.05
1689724800,316.01
1689811200,302.52
1689897600,294.26
