time,close
1681430400,109.46
1681689600,106.42
1681776000,105.12
1681862400,105.02
1681948800,105.9
1682035200,105.91
1682294400,106.78
1682380800,104.61
1682467200,104.45
1682553600,108.37
1682640000,108.22
1682899200,107.71
1682985600,105.98
1683072000,106.12
1683158400,105.21
1683244800,106.215
1683504000,108.24
1683590400,107.94
1683676800,112.28
1683763200,116.9
1683849600,117.92
1684108800,116.96
1684195200,120.09
1684281600,121.48
1684368000,123.52
1684454400,123.25
1684713600,125.87
1684800000,123.29
1684886400,121.64
1684972800,124.35
1685059200,125.43
1685404800,124.64
1685491200,123.37
1685577600,124.37
1685664000,125.23
1685923200,126.63
1686009600,127.91
1686096000,122.94
1686182400,122.67
1686268800,122.87
1686528000,124.35
1686614400,124.43
1686700800,124.38
1686787200,125.79
1686873600,124.06
1687219200,123.85
1687305600,121.26
1687392000,123.87
1687478400,123.02
1687737600,119.09
1687824000,119.01
1687910400,121.08
1687996800,120.01
1688083200,120.97
1688342400,120.56
1688515200,122.63
1688601600,120.93
1688688000,120.14
1688947200,116.87
1689033600,117.71
1689120000,119.62
1689206400,124.83
1689292800,125.7
1689552000,125.06
1689638400,124.08
1689724800,122.78
1689811200,119.53
1689897600,120.31
