time,close
1681430400,134.74
1681689600,133.78
1681776000,134.57
1681862400,133.56
1681948800,133.33
1682035200,133.76
1682294400,131.45
1682380800,138.2
1682467200,133.12
1682553600,132.17
1682640000,133.6
1682899200,138.43
1682985600,136.39
1683072000,138.06
1683158400,140.48
1683244800,141.75
1683504000,144.53
1683590400,143.7
1683676800,147.74
1683763200,147.06
1683849600,142.53
1684108800,144.22
1684195200,146.32
1684281600,146
1684368000,151.48
1684454400,149.43
1684713600,148.6
1684800000,147.67
1684886400,147.04
1684972800,147.65
1685059200,150.31
1685404800,148.01
1685491200,148.9
1685577600,153.92
1685664000,151.74
1685923200,156.34
1686009600,153.03
1686096000,148.31
1686182400,149.47
1686268800,150.48
1686528000,150.6
1686614400,151.54
1686700800,151.65
1686787200,152.18
1686873600,159.99
1687219200,156.82
1687305600,155.93
1687392000,159.09
1687478400,157.49
1687737600,153.78
1687824000,158.62
1687910400,160.57
1687996800,159.26
1688083200,160.55
1688342400,160.56
1688515200,160.73
1688601600,156.62
1688688000,156.97
1688947200,157.39
1689033600,160.58
1689120000,165.79
1689206400,171.1
1689292800,172.03
1689552000,179.17
1689638400,179.58
1689724800,179.84
1689811200,172.48
1689897600,171.71
