time,close
1681430400,161
1681689600,162.7
1681776000,162.4
1681862400,162.51
1681948800,160.28
1682035200,162.18
1682294400,163.94
1682380800,157.61
1682467200,155.45
1682553600,158.15
1682640000,157.75
1682899200,157.12
1682985600,155.72
1683072000,154.57
1683158400,152.53
1683244800,156.3
1683504000,156.5
1683590400,157.42
1683676800,157.73
1683763200,158.87
1683849600,157.99
1684108800,160.57
1684195200,156.91
1684281600,160.96
1684368000,154.18
1684454400,152.28
1684713600,151.91
1684800000,147.16
1684886400,143.1
1684972800,140.75
1685059200,138.93
1685404800,133.84
1685491200,130.93
1685577600,131.16
1685664000,133.22
1685923200,130.6
1686009600,132.7
1686096000,131.75
1686182400,131.27
1686268800,126.99
1686528000,126.48
1686614400,128.72
1686700800,133.23
1686787200,137.84
1686873600,133.81
1687219200,132.72
1687305600,133.22
1687392000,132.39
1687478400,131.83
1687737600,134.5
1687824000,132.51
1687910400,132.47
1687996800,132.91
1688083200,131.9
1688342400,134.86
1688515200,132.55
1688601600,130.84
1688688000,130.05
1688947200,131.74
1689033600,133.39
1689120000,132.91
1689206400,132.82
1689292800,130.92
1689552000,130.01
1689638400,130.81
1689724800,132.7
1689811200,134.64
1689897600,134.08
