time,close
1681430400,50.77
1681689600,52.77
1681776000,54
1681862400,55.55
1681948800,54
1682035200,53.8
1682294400,53.12
1682380800,51.03
1682467200,50.6
1682553600,51.73
1682640000,52.24
1682899200,51.81
1682985600,50.1
1683072000,48.03
1683158400,47.37
1683244800,49.24
1683504000,47.63
1683590400,47.94
1683676800,47.55
1683763200,47.73
1683849600,48.94
1684108800,50.94
1684195200,50.09
1684281600,51.82
1684368000,51.75
1684454400,51.67
1684713600,51.97
1684800000,52.79
1684886400,52.08
1684972800,54.24
1685059200,53.67
1685404800,53.84
1685491200,52.69
1685577600,52.7
1685664000,54.37
1685923200,54.41
1686009600,54.61
1686096000,55.63
1686182400,55.03
1686268800,55
1686528000,53.97
1686614400,54.75
1686700800,54.35
1686787200,55.51
1686873600,54.4
1687219200,53.93
1687305600,53.97
1687392000,53.21
1687478400,53.17
1687737600,53.41
1687824000,55.22
1687910400,55.78
1687996800,57.14
1688083200,56.68
1688342400,57.72
1688515200,56.69
1688601600,55.96
1688688000,56.79
1688947200,57.83
1689033600,57.58
1689120000,58.41
1689206400,59.93
1689292800,58.52
1689552000,58.64
1689638400,66.01
1689724800,66.04
1689811200,67.94
1689897600,66.48
